"","ikey","Location","Source","Chronological.Frame","Language"
"259","PH279293","Chalcedon","IK Kalchedon 67","---","Greek"
"260","PH279294","Chalcedon","IK Kalchedon 68","---","Greek"
"261","PH279296","Chalcedon","IK Kalchedon 70","---","Greek"
"262","PH279297","Chalcedon","IK Kalchedon 71","---","Greek"
"263","PH279298","Chalcedon","IK Kalchedon 72","---","Greek"
"264","PH279299","Chalcedon","IK Kalchedon 73","---","Greek"
"265","PH279300","Chalcedon","IK Kalchedon 74","---","Greek"
"266","PH279301","Chalcedon","IK Kalchedon 75","---","Greek"
"267","PH279302","Chalcedon","IK Kalchedon 76","---","Greek"
"268","PH279303","Chalcedon","IK Kalchedon 77","---","Greek"
"269","PH279305","Chalcedon","IK Kalchedon 79","---","Greek"
"270","PH279234","Chalcedon","IK Kalchedon 8","---","Greek"
"271","PH279306","Chalcedon","IK Kalchedon 80","---","Greek"
"272","PH279308","Chalcedon","IK Kalchedon 82","---","Greek"
"273","PH279309","Chalcedon","IK Kalchedon 83","---","Greek"
"274","PH279310","Chalcedon","IK Kalchedon 84","---","Greek"
"275","PH279311","Chalcedon","IK Kalchedon 85","---","Greek"
"276","PH279312","Chalcedon","IK Kalchedon 86","---","Greek"
"277","PH279313","Chalcedon","IK Kalchedon 87","---","Greek"
"278","PH279314","Chalcedon","IK Kalchedon 88","---","Greek"
"279","PH279315","Chalcedon","IK Kalchedon 89","---","Greek"
"280","PH279235","Chalcedon","IK Kalchedon 9","---","Greek"
"281","PH279316","Chalcedon","IK Kalchedon 90","---","Greek"
"282","PH279317","Chalcedon","IK Kalchedon 91","---","Greek"
"283","PH279318","Chalcedon","IK Kalchedon 92","---","Greek"
"284","PH279319","Chalcedon","IK Kalchedon 93","---","Greek"
"285","PH279320","Chalcedon","IK Kalchedon 94","---","Greek"
"286","PH279321","Chalcedon","IK Kalchedon 95","---","Greek"
"287","PH279322","Chalcedon","IK Kalchedon 96","---","Greek"
"288","PH279323","Chalcedon","IK Kalchedon 97","---","Greek"
"289","PH279324","Chalcedon","IK Kalchedon 98","---","Greek"
"290","PH279325","Chalcedon","IK Kalchedon 99","---","Greek"
"291","PH279363","Chalcedon","IK Kalchedon p90","---","Latin"
"292","PH279808","Chalcedon","SEG 31: 1062","---","Greek"
"293","PH279824","Chalcedon","SEG 35: 1301","---","Greek"
"294","PH279830","Chalcedon","SEG 36: 1144","---","Greek"
"295","PH279849","Chalcedon","SEG 37: 1024","---","Greek"
"296","PH279850","Chalcedon","SEG 37: 1026","---","Greek"
"297","PH279851","Chalcedon","SEG 37: 1027","---","Greek"
"298","PH279852","Chalcedon","SEG 37: 1028","---","Greek"
"299","PH279854","Chalcedon","SEG 37: 1030","---","Greek"
"300","PH279855","Chalcedon","SEG 37: 1031","---","Greek"
"301","PH279857","Chalcedon","SEG 37: 1034,1","---","Greek"
"302","PH279858","Chalcedon","SEG 37: 1034,2","---","Greek"
"303","PH279859","Chalcedon","SEG 37: 1034,3","---","Greek"
"304","PH279860","Chalcedon","SEG 37: 1034,4","---","Greek"
"305","PH279861","Chalcedon","SEG 37: 1034,5","---","Greek"
